@relation category

@attribute Text string
@attribute category {airplane,quake,train}

@data

'2007 January 1 ? Adam Air Flight 574, a Boeing 737-400 with 102 people on board, crashes into the ocean off the island of Sulawesi in Indonesia, killing all on board. ',airplane
'The 1923 Great Kanto earthquake struck the Kanto plain on the Japanese main island of Honshu at 11:58:44 am JST on September 1, 1923. Varied accounts hold that the duration of the earthquake was between 4 and 10 minutes. The Kanto quake killed between 100,000 and 140,000 people, making it the deadliest earthquake ever to strike Japan. ',quake
'February 1, 1964 ? Altamirano rail disaster - near Buenos Aires, Argentina: A Mar del Plata-Buenos Aires Firefly Express with 1,040 passengers on board collided head-on with a freight train, killing at least seventy people. ',train
'2009 June 1 ? Air France Flight 447, an Airbus A330-200 flying from Rio de Janeiro, Brazil to Paris, France, crashes in the Atlantic Ocean killing all 228 occupants, including 12 crew; bodies and aircraft debris are not recovered until several days later. ',airplane
'February 4, 1998 - Northeastern Afghanistan. An earthquake of magnitude 6.1 and subsequent tremors kill some 4,500 persons and leave 30,000 homeless. ',quake
'February 1, 1970 ? Benavidez rail disaster - A Tucuman?Buenos Aires express train collides with standing local train south of Benavidez railroad station 18 miles north of Buenos Aires, Argentina. 142 people are killed, 368 injured though some sources state 236 killed. ',train
'1988 July 3 ? Iran Air Flight 655, an Airbus A300, is shot down over Iranian waters by the missile cruiser USS Vincennes; all 290 people on board are killed. ',airplane
'The main earthquake struck at 16:58 GMT (04:58 local time) on November 4, 1952. Initially assigned a magnitude of 8.2, the quake was revised to 9.0 Mw in later years. A large tsunami resulted,causing destruction and loss of life around the Kamchatka peninsula and the Kuril Islands. Hawaii was also struck, with estimated damages of up to US$1 million and livestock losses, but no human casualties were recorded. Japan also reported no casualties or damage. The tsunami reached as far as Alaska, Chile, and New Zealand. ',quake
'Germany February 2, 1990 ? R?sselsheim, Germany: Two S-Bahn commuter trains collide, killing 17 and injuring 80. ',train
'2001 July 4 ? Vladivostok Air Flight 352, a Tupolev Tu-154 enters a flat spin on approach to Irkutsk Airport in Irkutsk, Russia, crashes down onto its belly and bursts into flames in a wooded area killing all 145 aboard. ',airplane
'2005 October 08 03:50:40 UTC  At least 86,000 people killed, more than 69,000 injured and extensive damage in northern Pakistan.The heaviest damage occurred in the Muzaffarabad area, Kashmir where entire villages were destroyedand at Uri where 80 percent of the town was destroyed. At least 32,335 buildings collapsed inAnantnag, Baramula, Jammu and Srinagar, Kashmir. ',quake
'August 2, 1999 ? Gauhati rail disaster, Gauhati, India: Two express trains collide head-on. More than 285 people are killed. ',train
'2009 August 4 ? Bangkok Airways Flight 266, an ATR 72-200 carrying 68 passengers crashes in severe weather on landing at Samui airport in the resort island of Ko Samui in Thailand, resulting in at least 1 confirmed death and 37 injuries. ',airplane
